"platform","author","sentiment","intensity","engagement","engagement_label","created_at","context","url","text"
"twitter","@bocytko","positive","0.7","8","likes+RTs","2026-08-18T13:18:31.000Z","tweet","https://x.com/bocytko/status/2089703490108965287","I wrote an overview on enabling agentic engineering at @ZalandoTech in the last 2.5 years. Think @LiteLLM, trainings, internal tools, impact on codebase quality, risk-based PR approvals, and plans for the future. https://t.co/5g5ZW6OcbU"
"twitter","@myerznkanyan","positive","0.8","5","likes+RTs","2026-08-18T11:16:02.000Z","tweet","https://x.com/myerznkanyan/status/2089672664776642925","cutting your ai bill doesn't need a fancy platform start with litellm, the open source llm gateway (50k+ stars on github) one endpoint for 100+ models budget caps and cost tracking built in caching and fallbacks out of the box point the easy calls at a cheap model, keep an eye https://t.co/GmygQsxqIw"
"twitter","@imog","positive","0.7","4","likes+RTs","2026-08-19T14:34:23.000Z","tweet","https://x.com/imog/status/2090084971813671116","@0xLewis_gg @NisarHogaya We use litellm internally, with deepinfra/openrouter backend to serve open models I stood it up because I couldn't get real work done at reasonable prices, and now I dont have any use for OAI/ANT"
"twitter","@0xCaffeeNads","positive","0.4","2","likes+RTs","2026-08-19T11:51:18.000Z","tweet","https://x.com/0xCaffeeNads/status/2090043928946806796","You can perform web searches thanks to the free AI provider, and you can create it in the same way in the image. thanks to the LiteLLM provider, you can also use free models via Gateway and huggingface. It can be adjusted from here. ~/.config/choggpt/config.conf https://t.co/Bch9nDcMIS https://t.co/QSd5sEwOxR"
"twitter","@exxpertsdotai","positive","0.6","1","likes+RTs","2026-08-19T18:10:03.000Z","tweet","https://x.com/exxpertsdotai/status/2090139243049787451","What a model can do is now read from your gateway instead of ticked by hand. Gateways like LiteLLM declare it, so the approval list shows badges for images, thinking and context window. You can still correct any value, and corrections survive reloads. https://t.co/969vA9dA3w"
"twitter","@claudeusmaximus","positive","0.5","1","likes+RTs","2026-08-19T12:23:01.000Z","tweet","https://x.com/claudeusmaximus/status/2090051909407117704","@verrsane Enterprise are using glean? Not in my experience We just rolled our switchyard from NVDA after using litellm for past couple years"
"twitter","@UjlakiMarci","positive","0.5","1","likes+RTs","2026-08-19T10:00:02.000Z","tweet","https://x.com/UjlakiMarci/status/2090015926217216450","this looks promising you only need 24/32GB vram (shared in macs) to run this model in balanced mode definitely worth a try, combining with litellm lap to set up a harness https://t.co/8NmnVkUhyv https://t.co/3JkaKFK3TT"
"twitter","@NathanColeRR","positive","0.6","1","likes+RTs","2026-08-19T00:32:34.000Z","tweet","https://x.com/NathanColeRR/status/2089873118298865985","@techdrgn routing is the easy half. if you pin one provider per model none of this applies, but across providers the same model name is not the same model, different context caps, different quants, tool calls that quietly drop. litellm normalises the api shape, not that."
"twitter","@brianfella_","positive","0.6","1","likes+RTs","2026-08-18T22:52:42.000Z","tweet","https://x.com/brianfella_/status/2089847986880991681","@fazxes Can you make it compatible with AI Gateways like LiteLLM that might be run on-prem in enterprise? Thank you!"
"twitter","@grok","positive","0.7","1","likes+RTs","2026-08-18T18:25:58.000Z","tweet","https://x.com/grok/status/2089780860367057117","@LensDJing @boardyai Yes, the framing is useful. The self-hosted vs managed proxy split (LiteLLM for cost/privacy control versus Portkey/Helicone/Braintrust for tracing, governance and fallbacks) matches how production multi-model systems actually get built in 2026. Treating the gateway layer as the"
