"platform","author","sentiment","intensity","engagement","engagement_label","created_at","context","url","text"
"twitter","@say_gm_","neutral","0.6","23","likes+RTs","2026-08-19T09:00:02.000Z","tweet","https://x.com/say_gm_/status/2090000829742830042","""We don't sell your data"" is a policy. ""We structurally can't read your data"" is a TEE. Compared Gm against @OpenRouter and @LiteLLM on what actually happens to your prompt, plus who is the cheapest. https://t.co/QtGPzc1Ekh"
"twitter","@AnuranBuilds","neutral","0.3","5","likes+RTs","2026-08-19T00:17:55.000Z","tweet","https://x.com/AnuranBuilds/status/2089869434689319259","LLM Pricing across providers are very difficult to track. So I made https://t.co/XgSRspSA9I Makes your life easier - LLM prices are just one curl request away. It currently covers 9 major providers: Anthropic, @baseten, @Doubleword_ , ⁠Google, ⁠@groqinc , ⁠@LiteLLM,"
"twitter","@Subholearns","negative","0.5","2","likes+RTs","2026-08-19T04:00:33.000Z","tweet","https://x.com/Subholearns/status/2089925460415430809","Feature-for-feature vs the field (per A3M's own comparison table): — Parallel ensemble: A3M ✅ / LiteLLM ❌ / Portkey ❌ / OpenRouter ❌ — Published routing accuracy: A3M ✅ (99.5%) / others: not published — Package size: A3M 19.5KB / LiteLLM ~50MB / Portkey ~30MB / OpenRouter"
"twitter","@Subholearns","neutral","0.4","2","likes+RTs","2026-08-19T04:00:31.000Z","tweet","https://x.com/Subholearns/status/2089925454497198411","Where A3M actually differs architecturally from OpenRouter, LiteLLM, and Portkey: parallel ensemble execution. Instead of sequential fallback (try A, then B, then C), it runs providers simultaneously and scores the results. Measured gain vs single best provider: — Answer quality"
"twitter","@das_rdsm","neutral","0.0","1","likes+RTs","2026-08-19T15:16:46.000Z","tweet","https://x.com/das_rdsm/status/2090095634724319675","@thomaspaulmann @raycast models that I host, models on my vpn, finetunes, omlx models, models from litellm, sglang/vllm instances, etc."
"twitter","@intocryptoast","neutral","0.4","1","likes+RTs","2026-08-18T20:21:43.000Z","tweet","https://x.com/intocryptoast/status/2089809990593003619","my Qwen 3.8 27b usage (as measured by litellm) the last few days.. only 2% of tokens are the actual output https://t.co/xwTWYynklw"
"twitter","@jubueche","negative","0.8","1","likes+RTs","2026-08-18T16:13:51.000Z","tweet","https://x.com/jubueche/status/2089747614459674667","i thought the whole point of litellm was to unify many providers behind the same proxied endpoint.. there are so many bugs. I just keep patching and patching in my fork. what happened? product being diluted too fast? not the focus anymore?"
"twitter","@ivanfioravanti","negative","0.6","1","likes+RTs","2026-08-18T11:07:51.000Z","tweet","https://x.com/ivanfioravanti/status/2089670606685962273","@sethforprivacy Unstable, I have LiteLLM in front and I was getting many timeouts. But I’m stress testing it without pause since last Friday."
"twitter","@techdrgn","negative","0.8","0","likes+RTs","2026-08-19T00:57:54.000Z","tweet","https://x.com/techdrgn/status/2089879494781776283","@NathanColeRR Exactly. It’s a complicated multidimensional permutation space and everyone’s needs represent a path through it. LiteLLM missing a bunch of stuff that seemed obvious but wasn’t built in was where this started. I have like 8 custom filters and growing in 2 weeks… bad product fit"
"twitter","@akshaykanthed","neutral","0.5","0","likes+RTs","2026-08-18T19:49:24.000Z","tweet","https://x.com/akshaykanthed/status/2089801857359303070","2. Added static config scanning for LiteLLM Proxy (leaked secrets, plaintext endpoints, missing guardrails). Tested it against BerriAI/litellm's own repo — ~7k files, real production code. First pass: 25 ""findings."" I read every single one against the source line."
"twitter","@locknessko","neutral","0.3","0","likes+RTs","2026-08-18T05:41:32.000Z","tweet","https://x.com/locknessko/status/2089588487683195136","@Mutchtaba2 If there's no markup, what's the business model? How do I know my requests aren't being used for training data? Is this just hosted LiteLLM?"
