"platform","author","sentiment","intensity","engagement","engagement_label","created_at","context","url","text"
"github","tin-berri","positive","0.7","1","reactions","2026-08-19T19:21:34Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37496#issuecomment-5346925441","Both findings are addressed in 60b6e9fd79, and they turned out to be the same mechanism seen from two angles. Bugbot's is the concrete one and it was a real regression: letting every failure propagate meant `MCPOpenApiUpstreamError` reached `call_tool_rest_api`'s catch-all, which raises HTTP 500, so an upstream 403 or 429 would have looked like a gateway crash. Greptile's 4/5 concern is the general form of it, that removing the try/except changed behavior for every local tool handler and not only OpenAPI-backed ones. The fix splits by consequence instead of propagating everything. `_handle_loc …[truncated]"
"github","tin-berri","neutral","0.5","1","reactions","2026-08-19T18:09:20Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37251#issuecomment-5346144118","Context for the three 4/5 notes: keys[] never exposes per-key stopped_by, so no consumer can diff it against budget_spent; the attempt-freeze SQL is live-proven in the body's fabricated-straggler run against real Postgres; the fake's fidelity is the stated price of trustworthy tests. Types-sync regen pushed. @greptileai can you reply here with a score and why that score?"
"github","tin-berri","positive","0.6","1","reactions","2026-08-19T17:42:58Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37410#issuecomment-5345853737","Addressed in 1e54ddce28, which is test-only; the production diff is byte identical to 37cf5a8927. On the `mcp_server is None` concern, the premise does not hold on this branch, so I have pinned it rather than added a guard. `execute_mcp_tool` already raises a 503 when the server is unresolvable, and it does so inside the same `if local_tool:` block, above the credential work: - `server.py:2757` is the last assignment to `mcp_server` - `server.py:2795` opens `if local_tool:` - `server.py:2805` raises `HTTPException(503, ""MCP server for tool ... is not available"")` when `mcp_server is None` - `s …[truncated]"
"github","deepanshululla","neutral","0.2","1","reactions","2026-08-19T14:30:45Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/36541#issuecomment-5343587527","Rebased onto litellm_internal_staging (210 commits of drift, clean, no conflicts, no code changes). @greptileai please re-review"
"github","vineethsaivs","neutral","0.3","0","reactions","2026-08-19T19:05:29Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37313#issuecomment-5346760184","Checked the P2 rather than acting on it or waving it off. Both halves are measurably the other way round, so I have left the test where it is. **""a new test file rather than the existing mapped test suite.""** There is no mapped suite for this module. `tests/test_litellm/litellm_core_utils/llm_response_utils/` mirrors the source package one file per module, and `get_api_base.py` was the one with no test file: ``` src: convert_dict_to_response.py get_api_base.py get_formatted_prompt.py get_headers.py response_metadata.py tests: test_convert_dict_to_response.py test_convert_to_streaming_response. …[truncated]"
"github","acheamponge","positive","0.6","0","reactions","2026-08-19T18:24:58Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/34944#issuecomment-5346315162","Hi @krrishdholakia @ishaan-jaff, checking in on this one too. It promotes Crusoe from the JSON registry to a full native provider module, mirroring the Nebius AI Studio layout. Greptile's review came back at confidence 4/5 (""appears safe to merge"") and the one item it flagged has been addressed along with added test coverage. CI is 74/76 green, same two pre-existing base-branch failures as #33121. Happy to make any further changes if useful."
"github","acheamponge","positive","0.5","0","reactions","2026-08-19T18:24:56Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/33121#issuecomment-5346314947","Hi @krrishdholakia @ishaan-jaff, friendly bump on this one. It's a small base-URL fix for the already-merged Crusoe provider, so current users are pointed at a stale endpoint until it lands. CI is 73/75 green; the 2 remaining failures are pre-existing base-branch issues unrelated to this diff (osv-scan lockfile pins, stale Google API enum list). Let me know if there's anything else needed to get this merged."
"github","bharadwaj-pendyala","neutral","0.6","0","reactions","2026-08-19T18:08:21Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37477#issuecomment-5346132965","Greptile's blocking point is real, but it predates this PR and the dispatcher is not where it can be fixed. `ArizePhoenixPromptManager` overrides the ownership predicate to claim everything, and says so on purpose: ```python # litellm/integrations/arize/arize_phoenix_prompt_manager.py:353-365 def should_run_prompt_management(self, prompt_id, prompt_spec, dynamic_callback_params) -> bool: """""" Determine if prompt management should run based on the prompt_id. For Arize Phoenix, we always return True and handle the prompt loading in the _compile_prompt_helper method. """""" return True ``` So the pro …[truncated]"
"github","tin-berri","neutral","0.3","0","reactions","2026-08-19T17:44:38Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37251#issuecomment-5345871553","On the three 4/5 notes: keys[] never exposes per-key stopped_by, so nothing can diff it; the freeze SQL is live-proven in the body's straggler run; fake fidelity noted"
"github","yuneng-berri","positive","0.5","0","reactions","2026-08-19T16:51:53Z","comment on BerriAI/litellm","https://github.com/BerriAI/litellm/pull/37483#issuecomment-5345286910","The unregister is wired: `useMountedName`'s effect returns `registry.register(name)`, which React runs as cleanup. Added three tests driving the real registry; discarding that return turns two red."
